instance_name,year,category,family,n_vars,n_clauses,file_size_kb
af-synthesis_stb_50_180_1.wcnf,2022,wms,argumentation,,,8831
af-synthesis_stb_50_180_2.wcnf,2020,wms,argumentation,23829,378070,9845
af-synthesis_stb_50_200_4.wcnf,2022,wms,argumentation,,,9719
af-synthesis_stb_50_200_5.wcnf,2022,wms,argumentation,,,10011
af-synthesis_stb_50_200_6.wcnf,2022,wms,argumentation,,,9543
af-synthesis_stb_50_20_4.wcnf,2021,wms,argumentation,11497,80834,2195
af-synthesis_stb_50_20_8.wcnf,2022,wms,argumentation,,,1920
af-synthesis_stb_50_40_6.wcnf,2021,wms,argumentation,13081,114780,3024
af-synthesis_stb_50_40_8.wcnf,2022,wms,argumentation,,,2900
af-synthesis_stb_50_40_9.wcnf,2020,wms,argumentation,13091,113514,2991
af-synthesis_stb_50_60_3.wcnf,2022,wms,argumentation,,,3666
af-synthesis_stb_50_80_3.wcnf,2020,wms,argumentation,16151,188272,4826
af-synthesis_stb_50_80_7.wcnf,2022,wms,argumentation,,,4535
af-synthesis_stb_50_80_8.wcnf,2022,wms,argumentation,,,4550
af-synthesis_wt-af-synthesis_stb_50_100_4.wcnf,2024,wms,argumentation,,,5572
af-synthesis_wt-af-synthesis_stb_50_120_5.wcnf,2024,wms,argumentation,,,6194
af-synthesis_wt-af-synthesis_stb_50_140_0.wcnf,2024,wms,argumentation,,,7026
af-synthesis_wt-af-synthesis_stb_50_140_1.wcnf,2024,wms,argumentation,,,6851
af-synthesis_wt-af-synthesis_stb_50_140_7.wcnf,2024,wms,argumentation,,,7384
af-synthesis_wt-af-synthesis_stb_50_160_1.wcnf,2024,wms,argumentation,,,7879
af-synthesis_wt-af-synthesis_stb_50_160_5.wcnf,2024,wms,argumentation,,,8044
af-synthesis_wt-af-synthesis_stb_50_160_9.wcnf,2024,wms,argumentation,,,8129
af-synthesis_wt-af-synthesis_stb_50_200_0.wcnf,2024,wms,argumentation,,,10004
af-synthesis_wt-af-synthesis_stb_50_200_5.wcnf,2024,wms,argumentation,,,10011
af-synthesis_wt-af-synthesis_stb_50_20_4.wcnf,2024,wms,argumentation,,,2038
af-synthesis_wt-af-synthesis_stb_50_20_8.wcnf,2024,wms,argumentation,,,1920
af-synthesis_wt-af-synthesis_stb_50_40_0.wcnf,2024,wms,argumentation,,,2873
af-synthesis_wt-af-synthesis_stb_50_40_6.wcnf,2024,wms,argumentation,,,2800
af-synthesis_wt-af-synthesis_stb_50_40_8.wcnf,2024,wms,argumentation,,,2900
ann.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2.wcnf,2022,wms,ann,,,6800
ann.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4.wcnf,2022,wms,ann,,,18840
ann.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,2022,ms,ann,,,18840
ann.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_4.wcnf,2022,wms,ann,,,58331
atcoss-atcoss_mesat_02.wcnf,2023,ms,atcoss,,,27813
atcoss-atcoss_mesat_15.wcnf,2023,ms,atcoss,,,44655
atcoss-atcoss_sugar_05.wcnf,2023,ms,atcoss,,,20999
atcoss-atcoss_sugar_15.wcnf,2023,ms,atcoss,,,19903
atcoss_mesat_02.wcnf,2021,ms,atcoss,322127,1021283,29807
atcoss_mesat_03.wcnf,2021,ms,atcoss,321140,969655,28011
atcoss_mesat_04.wcnf,2021,ms,atcoss,450890,1515125,45019
atcoss_mesat_05.wcnf,2020,ms,atcoss,450157,1463573,43226
atcoss_mesat_10.wcnf,2020,ms,atcoss,333864,1078680,31615
atcoss_mesat_15.wcnf,2021,ms,atcoss,465243,1600427,47781
atcoss_mesat_18.wcnf,2021,ms,atcoss,366276,1605464,49779
atcoss_sugar_02.wcnf,2020,ms,atcoss,40788,377502,10377
atcoss_sugar_03.wcnf,2020,ms,atcoss,39860,381897,10402
atcoss_sugar_04.wcnf,2020,ms,atcoss,53119,759090,22568
atcoss_sugar_05.wcnf,2021,ms,atcoss,53465,755089,22473
atcoss_sugar_10.wcnf,2021,ms,atcoss,43861,423878,11592
atcoss_sugar_15.wcnf,2020,ms,atcoss,55429,744265,21355
atcoss_sugar_18.wcnf,2020,ms,atcoss,53441,823900,22822
aus.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_3.wcnf,2022,wms,aus,,,253325
aus.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4.wcnf,2022,wms,aus,,,7939
aus.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4.wcnf,2022,wms,aus,,,23700
aus.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,2022,ms,aus,,,23700
aus.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_5.wcnf,2022,wms,aus,,,73640
aus.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6.wcnf,2022,wms,aus,,,73640
australian.wcnf,2022,ms,australian,,,46560
b14_C-mbd14-0277.wcnf,2020,ms,b14,11949,31219,599
b14_C-mbd14-0337.wcnf,2020,ms,b14,11949,31219,599
b14_C-mbd14-0388.wcnf,2020,ms,b14,11949,31219,599
b21_C-mbd14-0218.wcnf,2020,ms,b21,24168,63673,1295
b21_C-mbd14-0322.wcnf,2020,ms,b21,24168,63673,1295
bcp-SU3__simp-genos.haps.9.wcnf,2023,ms,bcp,,,1841
bf2030fvslack.wcnf,2022,wms,bf2030fvslack,,,372800
bip.maxcut-140-630-0.7-13.wcnf,2022,ms,max-cut,,,14
bip.maxcut-140-630-0.7-37.wcnf,2022,ms,max-cut,,,14
bip.maxcut-140-630-0.7-42.wcnf,2022,ms,max-cut,,,14
bip.maxcut-140-630-0.7-44.wcnf,2022,ms,max-cut,,,14
bip.maxcut-140-630-0.8-24.wcnf,2022,ms,max-cut,,,14
bn-human-BNU_1_0025865_session_1-bg.wcnf,2022,wms,other,,,607976
bnn_mnist_0_label7_adversarial_norm_inf_totalizer.wcnf,2022,wms,bnn,,,3521338
bnn_mnist_11_label6_adversarial_norm_inf_totalizer.wcnf,2022,wms,bnn,,,3521338
bnn_mnist_17_label7_adversarial_norm_inf_totalizer.wcnf,2022,wms,bnn,,,3521338
bnn_mnist_1_label2_adversarial_norm_inf_totalizer.wcnf,2022,wms,bnn,,,3521338
bnn_mnist_30_label3_adversarial_norm_inf_totalizer.wcnf,2021,wms,bnn,1824691,132670230,3780459
bnn_mnist_back_image_12_label6_adversarial_norm_inf_totalizer.wcnf,2022,wms,bnn,,,3521685
bnn_mnist_back_image_14_label9_adversarial_norm_inf_totalizer.wcnf,2022,wms,bnn,,,3521685
bnn_mnist_back_image_32_label3_adversarial_norm_inf_totalizer.wcnf,2022,wms,bnn,,,3521685
bnn_mnist_back_image_35_label9_adversarial_norm_inf_totalizer.wcnf,2021,wms,bnn,1825402,132682685,3780831
bnn_mnist_back_image_3_label6_adversarial_norm_inf_totalizer.wcnf,2022,wms,bnn,,,3521684
bnn_mnist_back_image_40_label3_adversarial_norm_inf_totalizer.wcnf,2021,wms,bnn,1825392,132682665,3780830
bnn_mnist_back_image_5_label2_adversarial_norm_inf_totalizer.wcnf,2022,wms,bnn,,,3521686
bnn_mnist_back_image_9_label1_adversarial_norm_inf_totalizer.wcnf,2022,wms,bnn,,,3521684
bnn_mnist_rot_15_label8_adversarial_norm_inf_totalizer.wcnf,2022,wms,bnn,,,3521222
bnn_mnist_rot_1_label0_adversarial_norm_inf_totalizer.wcnf,2022,wms,bnn,,,3521222
bnn_mnist_rot_7_label2_adversarial_norm_inf_totalizer.wcnf,2020,wms,bnn,1824975,132666369,3780336
bre-res-str.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,2022,ms,bre,,,185654
brock200_3.clq.wcnf,2021,wms,brock200,40,1038,11
brock200_4.clq.wcnf,2020,wms,brock200,40,1028,11
brock400_1.clq.wcnf,2020,ms,brock400,400,20477,268
brock400_2.clq.wcnf,2021,wms,brock400,40,1188,13
brock400_3.clq.wcnf,2020,wms,brock400,40,1136,12
brock400_4.clq.wcnf,2020,ms,brock400,400,20435,267
brock800_2.clq.wcnf,2020,ms,brock800,800,112234,1501
brock800_3.clq.wcnf,2020,wms,brock800,40,1014,11
bupa.wcnf,2022,ms,bupa,,,10441
c-fat500-10.clq.wcnf,2020,ms,other,42,840,9
car.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,2022,ms,car,,,73294
car.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2.wcnf,2022,wms,car,,,3845
car.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,2022,ms,car,,,3845
causal-discovery-causal_n6_i1_N500_uai13_harddeps_int.wcnf,2024,ms,causal-discovery,,,25274
causal-discovery_wt-causal_Bands_6_277.wcnf,2024,wms,causal-discovery,,,804
causal-discovery_wt-causal_Link_10_1000.wcnf,2023,wms,causal-discovery,,,67511
causal-discovery_wt-causal_Link_10_10000.wcnf,2023,wms,causal-discovery,,,67509
causal-discovery_wt-causal_Link_9_100.wcnf,2023,wms,causal-discovery,,,24841
causal-discovery_wt-causal_Mildew_8_1000.wcnf,2024,wms,causal-discovery,,,8368
causal-discovery_wt-causal_Mushroom_7_1000.wcnf,2023,wms,causal-discovery,,,2734
causal-discovery_wt-causal_Pigs_6_1000.wcnf,2023,wms,causal-discovery,,,8368
causal-discovery_wt-causal_Water_10_100.wcnf,2024,wms,causal-discovery,,,67506
causal-discovery_wt-causal_Water_10_1000.wcnf,2023,wms,causal-discovery,,,67515
causal-discovery_wt-causal_alarm_9_1000.wcnf,2023,wms,causal-discovery,,,24844
causal-discovery_wt-causal_carpo_8_1000.wcnf,2023,wms,causal-discovery,,,8363
causal-discovery_wt-causal_hailfinder_7_100.wcnf,2024,wms,causal-discovery,,,2735
causal-discovery_wt-causal_insurance_8_10000.wcnf,2024,wms,causal-discovery,,,8369
causal-discovery_wt-causal_n6_i2_N500_uai13_log_int.wcnf,2024,wms,causal-discovery,,,25284
causal-discovery_wt-causal_n7_i4_N500_uai14_log_int.wcnf,2024,wms,causal-discovery,,,2738
causal_Autos_8_159.wcnf,2020,wms,causal,117952,426813,11271
causal_Heart_10_212.wcnf,2022,wms,causal,,,67508
causal_Horse_9_300.wcnf,2020,wms,causal,326886,1181793,32890
causal_Link_10_1000.wcnf,2020,wms,causal,868916,3138850,91944
causal_Statlog_7_752.wcnf,2022,wms,causal,,,2734
causal_Water_10_1000.wcnf,2020,wms,causal,868916,3138850,91947
causal_alarm_9_1000.wcnf,2020,wms,causal,326886,1181793,34041
causal_carpo_9_10000.wcnf,2020,wms,causal,326886,1181793,34040
causal_insurance_9_100.wcnf,2022,wms,causal,,,24845
cellda_x_10.wcnf,2022,ms,crypto,,,1338797
cellda_x_12.wcnf,2022,ms,crypto,,,1621465
cellda_y_10.wcnf,2022,ms,crypto,,,1339638
channel-500x100x100-b050.wcnf,2022,wms,channel,,,769575
cleve.wcnf,2020,ms,cleve,19400,285696,8153
cleveland.wcnf,2022,ms,cleveland,,,11767
close_solutions-SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug4_q0.used-as.sat04-723.cnf.wcnf.8.wcnf,2024,ms,close-solutions,,,108382
close_solutions-SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug6_q0.used-as.sat04-725.cnf.wcnf.3.wcnf,2024,ms,close-solutions,,,108370
close_solutions-SAT07__industrial__vliw_sat_4.0__9vliw_m_9stages_iq3_C1_bug6.cnf.wcnf.4.wcnf,2024,ms,close-solutions,,,335436
close_solutions-SAT11__application__fuhs__AProVE11__AProVE11-16.cnf.wcnf.1.wcnf,2024,ms,close-solutions,,,6565
close_solutions-SAT_RACE06__velev-pipe-sat-1.0-b9.cnf.wcnf.8.wcnf,2024,ms,close-solutions,,,184157
cnf.19.p.10.wcnf,2020,ms,phylogenetics,132880,600905,13110
cnf.20.p.10.wcnf,2020,ms,phylogenetics,142474,644312,14132
cnf.20.p.8.wcnf,2020,ms,phylogenetics,124762,564196,12245
cnf_10.wcnf,2022,ms,phylogenetics,,,20644
cnf_12.wcnf,2022,ms,phylogenetics,,,22972
cnf_small.wcnf,2022,ms,phylogenetics,,,767
colic.wcnf,2022,ms,colic,,,16654
comp01.wcnf,2020,wms,comp01,13864,64189,1491
comp02.wcnf,2020,wms,comp02,111869,578209,15277
comp05.wcnf,2022,wms,comp05,,,3543
comp06.lp.sm-extracted.wcnf,2020,wms,comp06,1734201,9512172,287610
comp07.wcnf,2020,wms,comp07,216804,1806892,50889
comp09.wcnf,2020,wms,comp09,107448,606143,16142
comp12.wcnf,2020,wms,comp12,83492,473168,12421
comp15.wcnf,2022,wms,comp15,,,10789
comp18.wcnf,2020,wms,comp18,41185,175639,4339
comp21.wcnf,2020,wms,comp21,131373,929034,25461
compas_train_0_CNF_5_5.wcnf,2020,wms,compas,24404,149513,2966
compas_train_4_DNF_4_1.wcnf,2020,ms,compas,18265,105646,2015
compas_train_4_DNF_5_1.wcnf,2020,ms,compas,21209,129704,2507
correlation-clustering_wt-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200.wcnf,2023,wms,correlation,,,8031
correlation-clustering_wt-Rounded_CorrelationClustering_Ionosphere_BINARY_N280_D0.200.wcnf,2024,wms,correlation,,,9984
correlation-clustering_wt-Rounded_CorrelationClustering_Ionosphere_BINARY_N300_D0.200.wcnf,2024,wms,correlation,,,11952
correlation-clustering_wt-Rounded_CorrelationClustering_Protein1_BINARY_N320.wcnf,2024,wms,correlation,,,4944
correlation-clustering_wt-Rounded_CorrelationClustering_Protein1_BINARY_N400.wcnf,2024,wms,correlation,,,7386
correlation-clustering_wt-Rounded_CorrelationClustering_Protein1_TRANSITIVE_N270.wcnf,2024,wms,correlation,,,219439
correlation-clustering_wt-Rounded_CorrelationClustering_Protein1_UNARY_N250.wcnf,2024,wms,correlation,,,55216
correlation-clustering_wt-Rounded_CorrelationClustering_Protein1_UNARY_N290.wcnf,2023,wms,correlation,,,83626
correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N220.wcnf,2023,wms,correlation,,,2714
correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N240.wcnf,2023,wms,correlation,,,3238
correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N380.wcnf,2023,wms,correlation,,,8301
correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_UNARY_N220.wcnf,2023,wms,correlation,,,44730
correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N200.wcnf,2024,wms,correlation,,,85944
correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N220.wcnf,2024,wms,correlation,,,116035
correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N280.wcnf,2023,wms,correlation,,,245523
correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_UNARY_N220.wcnf,2023,wms,correlation,,,43470
correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_BINARY_N320.wcnf,2023,wms,correlation,,,3455
correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_BINARY_N360.wcnf,2024,wms,correlation,,,4087
correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_BINARY_N400.wcnf,2024,wms,correlation,,,4842
correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_TRANSITIVE_N190.wcnf,2024,wms,correlation,,,73017
correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_UNARY_N250.wcnf,2023,wms,correlation,,,38690
correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200.wcnf,2024,wms,correlation,,,42011
correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200.wcnf,2023,wms,correlation,,,58774
cra-scp.scpclr13_maxsat.wcnf,2022,ms,set-covering,,,1396
cra-scp.scpcyc10_maxsat.wcnf,2022,ms,set-covering,,,309
credit_test_0_CNF_4_1.wcnf,2020,ms,credit,12789,176698,3279
credit_test_9_CNF_4_10.wcnf,2020,wms,credit,12783,176619,3449
credit_train_0_CNF_2_1.wcnf,2020,ms,credit,69273,817162,16117
credit_train_1_CNF_3_1.wcnf,2020,ms,credit,90410,1201730,24136
credit_train_1_DNF_2_5.wcnf,2021,wms,credit,39163,290237,7925
credit_train_1_DNF_3_1.wcnf,2021,ms,credit,45245,418870,11560
credit_train_4_CNF_5_1.wcnf,2020,ms,credit,132690,1970958,40781
credit_train_6_DNF_3_1.wcnf,2020,ms,credit,45250,418930,11561
credit_train_8_CNF_5_15.wcnf,2020,wms,credit,132691,1970964,42706
d4.wcnf,2022,ms,other,,,419606
data.135.wcnf,2022,ms,misc-planning,,,41
data.243.wcnf,2022,ms,misc-planning,,,143
data.405.wcnf,2022,ms,misc-planning,,,408
data.729.wcnf,2022,ms,misc-planning,,,1350
dds4.wcnf,2022,wms,dds4,,,359077
decision-tree-anneal-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,2023,ms,decision-tree,,,193504
decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3.wcnf,2023,wms,decision-tree,,,18840
decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5.wcnf,2023,wms,decision-tree,,,18840
decision-tree-australian-credit-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,2023,ms,decision-tree,,,253325
decision-tree-australian-credit-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2.wcnf,2024,wms,decision-tree,,,7939
decision-tree-australian-credit-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_5.wcnf,2024,wms,decision-tree,,,7939
decision-tree-australian-credit-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5.wcnf,2023,wms,decision-tree,,,23700
decision-tree-australian-credit-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_3.wcnf,2024,wms,decision-tree,,,73640
decision-tree-australian-credit-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_5.wcnf,2024,wms,decision-tree,,,73640
decision-tree-australian-credit-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree.wcnf,2024,ms,decision-tree,,,73640
decision-tree-breast-cancer-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,2023,ms,decision-tree,,,185654
decision-tree-breast-cancer-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,2023,ms,decision-tree,,,6021
decision-tree-car-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,2024,ms,decision-tree,,,3845
decision-tree-car-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,2023,ms,decision-tree,,,9350
decision-tree-car-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree.wcnf,2023,ms,decision-tree,,,23319
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2.wcnf,2023,wms,decision-tree,,,172447
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_5.wcnf,2024,wms,decision-tree,,,172447
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4.wcnf,2023,wms,decision-tree,,,3912
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_5.wcnf,2024,wms,decision-tree,,,3912
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_6.wcnf,2024,wms,decision-tree,,,3912
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,2023,ms,decision-tree,,,3912
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4.wcnf,2023,wms,decision-tree,,,12740
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_6.wcnf,2023,wms,decision-tree,,,12740
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree.wcnf,2023,ms,decision-tree,,,45574
decision-tree-hypothyroid-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,2024,ms,decision-tree,,,331490
decision-tree-hypothyroid-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree.wcnf,2023,ms,decision-tree,,,127783
decision-tree-kr-vs-kp-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,2024,ms,decision-tree,,,283438
decision-tree-kr-vs-kp-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,2023,ms,decision-tree,,,40787
decision-tree-kr-vs-kp-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree.wcnf,2023,ms,decision-tree,,,109028
decision-tree-lymph-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,2023,ms,decision-tree,,,7528
decision-tree-mushroom-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,2024,ms,decision-tree,,,789784
decision-tree-mushroom-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,2023,ms,decision-tree,,,62514
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2.wcnf,2023,wms,decision-tree,,,62365
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_4.wcnf,2024,wms,decision-tree,,,62365
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2.wcnf,2024,wms,decision-tree,,,1517
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3.wcnf,2024,wms,decision-tree,,,4660
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4.wcnf,2023,wms,decision-tree,,,4660
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_4.wcnf,2024,wms,decision-tree,,,15882
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_5.wcnf,2024,wms,decision-tree,,,15882
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6.wcnf,2023,wms,decision-tree,,,15882
decision-tree-soybean-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,2024,ms,decision-tree,,,106902
decision-tree-soybean-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,2024,ms,decision-tree,,,3398
decision-tree-soybean-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,2024,ms,decision-tree,,,9392
decision-tree-soybean-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree.wcnf,2024,ms,decision-tree,,,30618
decision-tree-splice-1-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,2024,ms,decision-tree,,,1121033
decision-tree-splice-1-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,2024,ms,decision-tree,,,165815
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_3.wcnf,2024,wms,decision-tree,,,70272
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_5.wcnf,2024,wms,decision-tree,,,70272
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,2023,ms,decision-tree,,,70272
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2.wcnf,2023,wms,decision-tree,,,2825
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_3.wcnf,2023,wms,decision-tree,,,2825
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_2.wcnf,2024,wms,decision-tree,,,7263
decision-tree-vote-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,2024,ms,decision-tree,,,2549
decision-tree-vote-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree.wcnf,2024,ms,decision-tree,,,25956
delaunay_n24.wcnf,2022,wms,delaunay,,,1264220
des-cnf.16.p.6.wcnf,2024,ms,des,,,8274
des-cnf.17.p.10.wcnf,2024,ms,des,,,9577
des-cnf.19.p.10.wcnf,2024,ms,des,,,11370
diabetes.wcnf,2020,ms,diabetes,61620,2075314,64676
dim.MANN_a81.clq.wcnf,2022,wms,max-cut,,,17
dim.MANN_a9.clq.wcnf,2022,ms,max-cut,,,19
dim.brock400_3.clq.wcnf,2022,ms,max-cut,,,12
dim.brock400_4.clq.wcnf,2022,ms,max-cut,,,13
dim.brock800_3.clq.wcnf,2022,wms,max-cut,,,11
dim.hamming10-4.clq.wcnf,2022,wms,max-cut,,,15
dim.hamming8-2.clq.wcnf,2022,ms,max-cut,,,19
dim.johnson8-4-4.clq.wcnf,2022,wms,dim,,,40
dim.san400_0.7_3.clq.wcnf,2022,wms,dim,,,12
dim.san400_0.9_1.clq.wcnf,2022,wms,dim,,,15
dir.1403.wcsp.dir.wcnf,2022,wms,dir,,,289
downcast-avrora.wcnf,2021,wms,downcast,4151667,9582818,300281
downcast-hsqldb.wcnf,2022,wms,downcast,,,531839
downcast-pmd.wcnf,2022,wms,downcast,,,497663
drmx-cryptogen_wt-geffe128_7.wcnf,2023,wms,crypto,,,224
drmx-cryptogen_wt-threshold128_0.wcnf,2024,wms,crypto,,,233
drmx-cryptogen_wt-threshold128_1.wcnf,2024,wms,crypto,,,233
drmx-cryptogen_wt-threshold128_2.wcnf,2024,wms,crypto,,,233
drmx-cryptogen_wt-threshold128_6.wcnf,2024,wms,crypto,,,233
drmx-cryptogen_wt-threshold128_8.wcnf,2024,wms,crypto,,,233
ecoli.wcnf,2022,ms,ecoli,,,11279
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_1_10_1.wcnf,2023,ms,argumentation,,,3231
extension-enforcement_non-strict_stb_150_0.05_2_8_4.wcnf,2020,ms,argumentation,42742,105506,2100
extension-enforcement_non-strict_stb_150_0.1_2_8_2.wcnf,2022,ms,argumentation,,,1775
extension-enforcement_non-strict_stb_200_0.05_1_10_0.wcnf,2022,ms,argumentation,,,3231
extension-enforcement_non-strict_stb_200_0.05_1_10_1.wcnf,2022,ms,argumentation,,,3231
extension-enforcement_non-strict_stb_200_0.05_1_10_2.wcnf,2020,ms,argumentation,76190,188290,3811
extension-enforcement_non-strict_stb_200_0.05_2_10_2.wcnf,2020,ms,argumentation,76190,188290,3811
extension-enforcement_non-strict_stb_200_0.05_3_10_0.wcnf,2022,ms,argumentation,,,3231
extension-enforcement_non-strict_stb_200_0.05_3_10_1.wcnf,2020,ms,argumentation,76190,188290,3810
extension-enforcement_non-strict_stb_200_0.05_4_10_0.wcnf,2021,ms,argumentation,76190,188290,3811
extension-enforcement_non-strict_stb_200_0.05_4_10_1.wcnf,2020,ms,argumentation,76190,188290,3811
extension-enforcement_non-strict_stb_200_0.05_4_10_2.wcnf,2020,ms,argumentation,76190,188290,3810
extension-enforcement_non-strict_stb_200_0.05_4_10_3.wcnf,2020,ms,argumentation,76190,188290,3811
extension-enforcement_non-strict_stb_200_0.05_4_10_4.wcnf,2022,ms,argumentation,,,3231
extension-enforcement_non-strict_stb_200_0.1_2_10_1.wcnf,2022,ms,argumentation,,,3229
